a	CC	0.000013
a	CD	0.000020
a	DT	0.183114
a	FW	0.017241
a	IN	0.000014
a	JJ	0.000028
a	LS	0.061947
a	NN	0.000028
a	NNP	0.000039
a	RB	0.000127
a	RP	0.000099
a	TO	0.000026
a	VBN	0.000019
{a}	DT	0.000004
a-	CC	0.000091
a-	DT	0.000026
a-	FW	0.001014
a-	IN	0.000014
a-	NN	0.000012
a-	NNP	0.000005
a-	PRP	0.000009
a-	RB	0.000018
a-	VBP	0.000094
a.	NN	0.000015
A	DT	0.008213
A	NN	0.000263
A	NNP	0.000390
A	NNPS	0.001016
A	UH	0.000121
A-	RB	0.000009
A.	JJ	0.000007
A.	LS	0.005900
A.	NN	0.000122
A.	NNP	0.000430
A+	NN	0.000006
A1	NNP	0.000015
A16	NNP	0.000005
A310	NNPS	0.000145
A320	NN	0.000003
A330	NNP	0.000005
AA	NN	0.000006
AA	NNP	0.000005
Aaa	NN	0.000003
AAA	NN	0.000003
AAA	NNP	0.000020
Aaaaahhh	UH	0.000061
AAC	NN	0.000006
Aafaaq	NNP	0.000005
Aal	NNP	0.000005
Aalseth	NNP	0.000005
Aaron	NNP	0.000114
AAV	NN	0.000003
ab-	IN	0.000007
AB	NN	0.000003
AB	NNP	0.000069
Aba	NNP	0.000015
ABA	NN	0.000003
ABA	NNP	0.000030
Ababa	NNP	0.000020
aback	RB	0.000018
abacus	NN	0.000003
abacuses	NNS	0.000007
Abada	NNP	0.000005
Abaddon	NNP	0.000005
Abadi	NNP	0.000005
Abalkin	NNP	0.000010
Abana	NNP	0.000005
abandon	VB	0.000322
abandon	VBP	0.000038
abandoned	JJ	0.000007
abandoned	VBD	0.000189
abandoned	VBN	0.000849
abandoning	VBG	0.000260
Abandoning	VBG	0.000024
abandonment	NN	0.000024
abandons	VBZ	0.000049
abased	VBD	0.000012
abate	VB	0.000022
abated	VBD	0.000012
abated	VBN	0.000077
abatement	NN	0.000012
abates	VBZ	0.000016
Abather	NNP	0.000227
Abather	UH	0.000061
abating	VBG	0.000071
abattoir	NN	0.000003
ABB	NNP	0.000039
Abba	FW	0.002028
Abba	NNP	0.000005
ABBA	NNP	0.000005
Abbas	NNP	0.000178
Abbas	NNPS	0.000290
Abbe	NNP	0.000005
Abbett	NNP	0.000005
Abbey	NNP	0.000010
Abbie	NNP	0.000030
ABBIE	NNP	0.000010
Abbot	NNP	0.000020
Abbott	NNP	0.000005
abbreviated	VBN	0.000058
abbreviation	NN	0.000003
abby	NNP	0.000015
Abby	NNP	0.000044
ABC	NN	0.000003
ABC	NNP	0.000741
abc.com	NN	0.000003
abcnews.com	NN	0.000009
ABCs	NNS	0.000015
Abd	NNP	0.000104
ABD	NNP	0.000005
Abda	NNP	0.000005
Abdallah	NNP	0.000020
Abdel	NNP	0.000054
abdicate	VB	0.000011
abdicate	VBP	0.000019
abdicated	VBN	0.000019
abdication	NN	0.000006
abdomen	JJ	0.000007
abdomen	NN	0.000006
abdomens	NNS	0.000007
abdominal	JJ	0.000021
abducted	NN	0.000003
abducted	VBD	0.000024
abducted	VBN	0.000096
abducting	VBG	0.000071
abduction	NN	0.000021
abductors	NNS	0.000007
Abdul	NNP	0.000094
Abdulaziz	NNP	0.000010
Abduljawad	NNP	0.000005
Abdulkarim	NNP	0.000010
Abdullah	NNP	0.000158
Abdun	NNP	0.000005
Abe	NNP	0.000054
Abed	NNP	0.000005
Abel	NNP	0.000079
Abend-	FW	0.001014
Abendgarderobe	FW	0.002028
Abendgarderobe	NNP	0.000005
Aberdeen	NNP	0.000015
aberration	NN	0.000009
abetted	VBN	0.000019
abetting	VBG	0.000047
abhor	VBP	0.000019
Abi	NNP	0.000010
Abiathar	NN	0.000003
Abiathar	NNP	0.000128
Abid	NNP	0.000005
abide	VB	0.000144
abide	VBP	0.000019
abided	VBN	0.000019
abides	VBZ	0.000016
abiding	VBG	0.000260
Abidjan	NNP	0.000005
Abie	NNP	0.000005
Abiel	NNP	0.000015
Abigail	NNP	0.000118
Abijah	NNP	0.000084
Abilene	NNP	0.000005
abilites	NNS	0.000007
abilities	NNS	0.000125
ability	NN	0.000673
Ability	NN	0.000015
Abimelech	NNP	0.000005
Abinadab	NNP	0.000054
Abing	NNP	0.000005
Abiram	NNP	0.000005
Abishag	NNP	0.000025
Abishai	NNP	0.000123
Abital	NNP	0.000005
Abitibi	NNP	0.000005
Abiud	NNP	0.000010
Abizaid	NNP	0.000054
abject	JJ	0.000007
abjectly	RB	0.000009
Abkhazia	NNP	0.000044
ablaze	JJ	0.000007
ablaze	RB	0.000009
able	JJ	0.005126
Able	JJ	0.000014
ABM	NNP	0.000054
Abner	NNP	0.000370
Abney	NNP	0.000005
abnormal	JJ	0.000117
abnormalities	NNS	0.000029
abo-	IN	0.000004
aboard	IN	0.000119
aboard	RB	0.000054
abode	NN	0.000009
Aboff	NNP	0.000005
abolish	VB	0.000144
abolished	VBD	0.000024
abolished	VBN	0.000116
abolishing	VBG	0.000095
abolishment	NN	0.000003
abolition	NN	0.000012
abominable	JJ	0.000034
abominant	JJ	0.000007
abomination	NN	0.000003
abominations	NNS	0.000015
abomnaf@hotmail.com	NN	0.000003
aboriginal	JJ	0.000172
Aboriginal	NNP	0.000010
aborigine	NN	0.000006
aborigines	NNS	0.000184
Aborigines	NNPS	0.000436
abort	VB	0.000044
aborted	JJ	0.000014
aborted	VBD	0.000012
aborted	VBN	0.000039
abortion	NN	0.000474
Abortion	NN	0.000012
Abortion	NNP	0.000025
ABORTION	NN	0.000003
abortionist	NN	0.000006
abortions	NNS	0.000287
abortive	JJ	0.000007
abou-	IN	0.000004
Aboujaoude	NNP	0.000010
abound	VBP	0.000075
abounded	VBD	0.000024
abounding	VBG	0.000024
abounds	VBZ	0.000032
about	IN	0.016599
about	JJ	0.000372
about	NN	0.000009
about	PDT	0.000395
about	RB	0.008896
about	RBR	0.000287
about	RP	0.005946
About	IN	0.000133
About	RB	0.000552
above	IN	0.000781
above	JJ	0.000248
above	RB	0.000525
Above	IN	0.000040
Above	NNP	0.000005
